"SA1_MAINCODE_2016","CED_CODE_2017","CED_NAME_2017","STATE_CODE_2017","STATE_NAME_2017","AREA_ALBERS_SQKM"
"11903137218","101","Banks","1","New South Wales",0.1892
"11903137219","101","Banks","1","New South Wales",0.1523
"11903137220","101","Banks","1","New South Wales",0.1122
"11903137221","101","Banks","1","New South Wales",0.147
"11903137222","101","Banks","1","New South Wales",0.2896
"11903137223","101","Banks","1","New South Wales",0.128
"11903137224","101","Banks","1","New South Wales",0.1294
"11903137225","101","Banks","1","New South Wales",0.085
"11903137226","101","Banks","1","New South Wales",0.1329
"11903137227","101","Banks","1","New South Wales",0.1217
"11903137228","101","Banks","1","New South Wales",0.1257
"11903137229","101","Banks","1","New South Wales",0.2094
"11903137230","101","Banks","1","New South Wales",0.2509
"11903137231","101","Banks","1","New South Wales",0.2701
"11903137232","101","Banks","1","New South Wales",0.1729
"11903137233","101","Banks","1","New South Wales",0.1067
"11903137234","101","Banks","1","New South Wales",0.1412
"11903137235","101","Banks","1","New South Wales",0.0914
"11903137236","101","Banks","1","New South Wales",0.1503
"11903137237","101","Banks","1","New South Wales",0.2959
"11903137238","101","Banks","1","New South Wales",0.235
"11903137239","101","Banks","1","New South Wales",0.1143
"11903137240","101","Banks","1","New South Wales",0.0856
"11903137241","101","Banks","1","New South Wales",0.1057
"11903137242","101","Banks","1","New South Wales",0.1118
"11903137243","101","Banks","1","New South Wales",0.1222
"11903137244","101","Banks","1","New South Wales",0.1571
"11903137245","101","Banks","1","New South Wales",0.1526
"11903137301","101","Banks","1","New South Wales",0.0886
"11903137302","101","Banks","1","New South Wales",0.1577
"11903137303","101","Banks","1","New South Wales",0.0383
"11903137304","101","Banks","1","New South Wales",0.1543
"11903137305","101","Banks","1","New South Wales",0.0774
"11903137306","101","Banks","1","New South Wales",0.0868
"11903137307","101","Banks","1","New South Wales",0.3261
"11903137308","101","Banks","1","New South Wales",0.0606
"11903137309","101","Banks","1","New South Wales",0.0428
"11903137310","101","Banks","1","New South Wales",0.0618
"11903137311","101","Banks","1","New South Wales",0.0966
"11903137312","101","Banks","1","New South Wales",0.0441
"11903137313","101","Banks","1","New South Wales",0.0952
"11903137314","101","Banks","1","New South Wales",0.0391
"11903137315","101","Banks","1","New South Wales",0.1252
"11903137316","101","Banks","1","New South Wales",0.1239
"11903137317","101","Banks","1","New South Wales",0.1295
"11903137318","101","Banks","1","New South Wales",0.1387
"11903137319","101","Banks","1","New South Wales",0.1364
"11903137320","101","Banks","1","New South Wales",0.1838
"11903137321","101","Banks","1","New South Wales",0.1497
"11903137322","101","Banks","1","New South Wales",0.1113
"11903137323","101","Banks","1","New South Wales",0.1175
"11903137324","101","Banks","1","New South Wales",0.1013
"11903137325","101","Banks","1","New South Wales",0.0866
"11903137401","101","Banks","1","New South Wales",0.0366
"11903137402","101","Banks","1","New South Wales",0.0353
"11903137403","101","Banks","1","New South Wales",0.0263
"11903137404","101","Banks","1","New South Wales",0.0187
"11903137405","101","Banks","1","New South Wales",0.0766
"11903137406","101","Banks","1","New South Wales",0.0884
"11903137407","101","Banks","1","New South Wales",0.0751
"11903137408","101","Banks","1","New South Wales",0.0753
"11903137409","101","Banks","1","New South Wales",0.0696
"11903137410","101","Banks","1","New South Wales",0.0236
"11903137411","101","Banks","1","New South Wales",0.04
"11903137412","101","Banks","1","New South Wales",0.1101
"11903137413","101","Banks","1","New South Wales",0.1425
"11903137414","101","Banks","1","New South Wales",0.0831
"11903137416","101","Banks","1","New South Wales",0.1374
"11903137417","101","Banks","1","New South Wales",0.1744
"11903137418","101","Banks","1","New South Wales",0.1381
"11903137419","101","Banks","1","New South Wales",0.0958
"11903137420","101","Banks","1","New South Wales",0.0663
"11903137421","101","Banks","1","New South Wales",0.1674
"11903137422","101","Banks","1","New South Wales",0.0562
"11903137423","101","Banks","1","New South Wales",0.0696
"11903137424","101","Banks","1","New South Wales",0.0758
"11903137425","101","Banks","1","New South Wales",0.0074
"11903137426","101","Banks","1","New South Wales",0.0076
"11903137427","101","Banks","1","New South Wales",0.024
"11903137428","101","Banks","1","New South Wales",0.0162
"11903137429","101","Banks","1","New South Wales",0.0383
"11903137441","101","Banks","1","New South Wales",0.1184
"11903137442","101","Banks","1","New South Wales",0.1916
"11903137443","101","Banks","1","New South Wales",0.1584
"11903137444","101","Banks","1","New South Wales",0.1233
"11903137445","101","Banks","1","New South Wales",0.1627
"11903137446","101","Banks","1","New South Wales",0.1757
"11903137447","101","Banks","1","New South Wales",0.1669
"11903137450","101","Banks","1","New South Wales",0.055
"11903137451","101","Banks","1","New South Wales",0.0468
"11904137901","101","Banks","1","New South Wales",0.0743
"11904137902","101","Banks","1","New South Wales",0.1227
"11904137903","101","Banks","1","New South Wales",0.0488
"11904137904","101","Banks","1","New South Wales",0.0454
"11904137905","101","Banks","1","New South Wales",0.0235
"11904137906","101","Banks","1","New South Wales",0.0577
"11904137907","101","Banks","1","New South Wales",0.0939
"11904137908","101","Banks","1","New South Wales",0.1133
"11904137909","101","Banks","1","New South Wales",0.0677
"11904137910","101","Banks","1","New South Wales",0.0998
"11904137911","101","Banks","1","New South Wales",0.2047
"11904137912","101","Banks","1","New South Wales",0.0697
"11904137913","101","Banks","1","New South Wales",0.03
"11904137916","101","Banks","1","New South Wales",0.0515
"11904137917","101","Banks","1","New South Wales",0.1264
"11904137918","101","Banks","1","New South Wales",0.135
"11904137919","101","Banks","1","New South Wales",0.0535
"11904137920","101","Banks","1","New South Wales",0.0452
"11904137921","101","Banks","1","New South Wales",0.0532
"11904137929","101","Banks","1","New South Wales",0.0845
"11904137934","101","Banks","1","New South Wales",0.0334
"11904137935","101","Banks","1","New South Wales",0.0345
"11702132601","102","Barton","1","New South Wales",0.0397
"11702132602","102","Barton","1","New South Wales",0.093
"11702132603","102","Barton","1","New South Wales",0.0318
"11702132604","102","Barton","1","New South Wales",0.042
"11702132605","102","Barton","1","New South Wales",0.036
"11702132606","102","Barton","1","New South Wales",0.0313
"11702132607","102","Barton","1","New South Wales",0.1657
"11702132608","102","Barton","1","New South Wales",0.0276
"11702132609","102","Barton","1","New South Wales",0.0343
"11702132610","102","Barton","1","New South Wales",0.0996
"11702132611","102","Barton","1","New South Wales",0.2492
"11702132612","102","Barton","1","New South Wales",0.0733
"11702132613","102","Barton","1","New South Wales",0.1683
"11702132632","102","Barton","1","New South Wales",0.074
"11702132633","102","Barton","1","New South Wales",0.0555
"11702132634","102","Barton","1","New South Wales",0.0445
"11702132635","102","Barton","1","New South Wales",0.1141
"11702132636","102","Barton","1","New South Wales",0.4452
"11702132637","102","Barton","1","New South Wales",0.0581
"11702132640","102","Barton","1","New South Wales",0.0568
"11702132641","102","Barton","1","New South Wales",0.0165
"11702132644","102","Barton","1","New South Wales",0.0545
"11702132645","102","Barton","1","New South Wales",0.0793
"11702132646","102","Barton","1","New South Wales",0.0394
"11702132657","102","Barton","1","New South Wales",0.0756
"11702132807","102","Barton","1","New South Wales",0.0982
"11702132808","102","Barton","1","New South Wales",0.0661
"11702132809","102","Barton","1","New South Wales",0.0592
"11702132810","102","Barton","1","New South Wales",0.1184
"11702132811","102","Barton","1","New South Wales",0.149
"11702132812","102","Barton","1","New South Wales",0.036
"11702132813","102","Barton","1","New South Wales",1.0913
"11702132814","102","Barton","1","New South Wales",0.0712
"11702132817","102","Barton","1","New South Wales",0.1645
"11902136239","102","Barton","1","New South Wales",0.0912
"11902136304","102","Barton","1","New South Wales",0.0982
"11902136305","102","Barton","1","New South Wales",0.099
"11902136312","102","Barton","1","New South Wales",0.0751
"11902136313","102","Barton","1","New South Wales",0.1091
"11902136314","102","Barton","1","New South Wales",0.0567
"11902136315","102","Barton","1","New South Wales",0.1246
"11902136316","102","Barton","1","New South Wales",0.1242
"11902136344","102","Barton","1","New South Wales",0.1099
"11902136346","102","Barton","1","New South Wales",0.1234
"11902136347","102","Barton","1","New South Wales",0.1415
"11902136348","102","Barton","1","New South Wales",0.193
"11902136349","102","Barton","1","New South Wales",0.0956
"11902136350","102","Barton","1","New South Wales",0.118
"11902136351","102","Barton","1","New South Wales",0.0668
"11902136352","102","Barton","1","New South Wales",0.0633
"11902136353","102","Barton","1","New South Wales",0.0543
"11902136364","102","Barton","1","New South Wales",0.0725
"11902136366","102","Barton","1","New South Wales",0.0759
"11902136401","102","Barton","1","New South Wales",0.1999
"11902136402","102","Barton","1","New South Wales",0.1388
"11902136403","102","Barton","1","New South Wales",0.0871
"11902136404","102","Barton","1","New South Wales",0.292
"11902136405","102","Barton","1","New South Wales",0.1712
"11902136406","102","Barton","1","New South Wales",0.0916
"11902136407","102","Barton","1","New South Wales",0.0596
"11902136408","102","Barton","1","New South Wales",0.0557
"11902136409","102","Barton","1","New South Wales",0.1272
"11902136410","102","Barton","1","New South Wales",0.2344
"11902136411","102","Barton","1","New South Wales",0.1006
"11902136412","102","Barton","1","New South Wales",0.1101
"11902136413","102","Barton","1","New South Wales",0.1389
"11902136414","102","Barton","1","New South Wales",0.1868
"11902136415","102","Barton","1","New South Wales",0.3586
"11902136416","102","Barton","1","New South Wales",0.1841
"11902136417","102","Barton","1","New South Wales",0.1503
"11902136418","102","Barton","1","New South Wales",0.1114
"11902136419","102","Barton","1","New South Wales",0.0601
"11902136420","102","Barton","1","New South Wales",0.0586
"11902136421","102","Barton","1","New South Wales",0.0504
"11902136422","102","Barton","1","New South Wales",0.1186
"11902136423","102","Barton","1","New South Wales",0.1204
"11902136424","102","Barton","1","New South Wales",0.1086
"11902136425","102","Barton","1","New South Wales",0.0504
"11902136426","102","Barton","1","New South Wales",0.0867
"11902136427","102","Barton","1","New South Wales",0.087
"11902136429","102","Barton","1","New South Wales",0.3947
"11902136432","102","Barton","1","New South Wales",0.0747
"11902136433","102","Barton","1","New South Wales",0.2209
"11902136434","102","Barton","1","New South Wales",0.0928
"11902136435","102","Barton","1","New South Wales",0.1491
"11902136436","102","Barton","1","New South Wales",0.1591
"11902136437","102","Barton","1","New South Wales",0.1347
"11902136440","102","Barton","1","New South Wales",0.133
"11902136441","102","Barton","1","New South Wales",0.099
"11902136442","102","Barton","1","New South Wales",0.0985
"11902136443","102","Barton","1","New South Wales",0.1601
"11902136444","102","Barton","1","New South Wales",0.1154
"11902136445","102","Barton","1","New South Wales",0.0797
"11902136446","102","Barton","1","New South Wales",0.1595
"11902136447","102","Barton","1","New South Wales",0.1494
"11902136448","102","Barton","1","New South Wales",0.0615
"11902136449","102","Barton","1","New South Wales",0.3061
"11902136450","102","Barton","1","New South Wales",0.0994
"11902136451","102","Barton","1","New South Wales",0.0714
"11902136452","102","Barton","1","New South Wales",0.1092
"11902136453","102","Barton","1","New South Wales",0.1284
"11902136454","102","Barton","1","New South Wales",0.0421
"11902136455","102","Barton","1","New South Wales",0.0784
"11902136456","102","Barton","1","New South Wales",0.0912
"11902136457","102","Barton","1","New South Wales",0.1068
