district,link,name,party,phonenumber,twitter
"Ryan, Queensland",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=217266,Hon Jane Prentice MP,Liberal Party of Australia,(07) 3378 1599,http://twitter.com/JanePrentice_MP
"Pearce, Western Australia",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=208884,Hon Christian Porter MP,Liberal Party of Australia,(08) 6296 7255,https://twitter.com/cporterwa
"Sydney, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=83M,Hon Tanya Plibersek MP,Australian Labor Party,(02) 9379 0700,http://twitter.com/tanya_plibersek
"Fairfax, Queensland",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=138932,Mr Ted O'Brien MP,Liberal Party of Australia,(07) 5479 2800,
"Wide Bay, Queensland",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=265991,Mr Llew O'Brien MP,The Nationals,(07) 4121 2936,
"Blair, Queensland",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HVO,Hon Shayne Neumann MP,Australian Labor Party,(07) 3201 5300,http://twitter.com/ShayneNeumannMP
"Menzies, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HK5,Hon Kevin Andrews MP,Liberal Party of Australia,(03) 9848 9900,http://twitter.com/kevinandrewsmp
"Forrest, Western Australia",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HWP,Mrs Nola Marino MP,Liberal Party of Australia,(08) 9721 3788,http://twitter.com/#!/NolaMarinoMP
"Jagajaga, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=PG6,Hon Jenny Macklin MP,Australian Labor Party,(03) 9459 1411,
"Maranoa, Queensland",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=265585,Hon David Littleproud MP,The Nationals,,https://twitter.com/D_LittleproudMP
"Burt, Western Australia",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=249147,Mr Matt Keogh MP,Australian Labor Party,(08) 9390 0180,http://twitter.com/mattkeogh
"North Sydney, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=203092,Mr Trent Zimmerman MP,Liberal Party of Australia,(02) 9929 9822,
"Hughes, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=99931,Mr Craig Kelly MP,Liberal Party of Australia,(02) 9521 6262,http://twitter.com/CraigKellyMP
"Petrie, Queensland",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=247742,Mr Luke Howarth MP,Liberal Party of Australia,(07) 3284 8008,
"Page, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=218019,Mr Kevin Hogan MP,The Nationals,(02) 6621 4044,https://twitter.com/KevinHoganMP
"Bruce, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=86256,Mr Julian Hill MP,Australian Labor Party,(03) 9547 1444,https://www.twitter.com/JulianHillMP
"Scullin, Victoria",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=243609,Mr Andrew Giles MP,Australian Labor Party,(03) 9404 1911,https://twitter.com/andrewjgiles
"Hindmarsh, South Australia",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=DZY,Mr Steve Georganas MP,Australian Labor Party,(08) 8376 9000,http://twitter.com/stevegeorganas
"Calare, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=261393,Mr Andrew Gee MP,The Nationals,,
"Richmond, New South Wales",https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=DZW,Hon Justine Elliot MP,Australian Labor Party,(07) 5523 4371,
